Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-1249,Blue screen error,Verify your email settings.,91 minutes,Hardware,Escalated,37,negative
CONV-1250,Slow system performance,Follow the software installation guide.,107 minutes,Network,Resolved after follow-up,18,neutral
CONV-1251,Software installation failure,Run a system diagnostic tool.,51 minutes,Performance,Escalated,19,negative
CONV-1252,Software installation failure,Clear cache and remove unnecessary programs.,5 minutes,Hardware,Resolved,34,negative
CONV-1253,Software installation failure,Clear cache and remove unnecessary programs.,69 minutes,Account,Escalated,10,negative
CONV-1254,Software installation failure,Follow the software installation guide.,68 minutes,Hardware,Resolved after follow-up,39,negative
CONV-1255,Forgot password,Reinstall the printer drivers.,34 minutes,Software,Resolved,4,neutral
CONV-1256,Blue screen error,Run a system diagnostic tool.,74 minutes,Account,Resolved,18,negative
CONV-1257,Cannot connect to Wi-Fi,Reset your password using the link provided.,68 minutes,Hardware,Pending,23,neutral
CONV-1258,Software installation failure,Reset your password using the link provided.,101 minutes,Software,Resolved,10,negative
CONV-1259,Forgot password,Clear cache and remove unnecessary programs.,26 minutes,Software,Escalated,6,neutral
CONV-1260,Software installation failure,Verify your email settings.,67 minutes,Account,Escalated,15,negative
CONV-1261,Blue screen error,Reinstall the printer drivers.,63 minutes,Software,Pending,6,negative
CONV-1262,Printer not responding,Run a system diagnostic tool.,9 minutes,Performance,Pending,37,neutral
CONV-1263,Blue screen error,Run a system diagnostic tool.,113 minutes,Performance,Pending,21,negative
CONV-1264,Blue screen error,Reset your password using the link provided.,51 minutes,Hardware,Escalated,42,negative
CONV-1265,Software installation failure,Clear cache and remove unnecessary programs.,66 minutes,Performance,Resolved after follow-up,18,negative
CONV-1266,Unable to access email,Verify your email settings.,34 minutes,Hardware,Resolved,57,neutral
CONV-1267,Unable to access email,Follow the software installation guide.,20 minutes,Network,Resolved,25,neutral
CONV-1268,Slow system performance,Verify your email settings.,105 minutes,Hardware,Resolved after follow-up,47,neutral
CONV-1269,Unable to access email,Run a system diagnostic tool.,42 minutes,Hardware,Resolved,50,neutral
CONV-1270,Forgot password,Follow the software installation guide.,111 minutes,Network,Resolved,13,neutral
CONV-1271,Forgot password,Verify your email settings.,50 minutes,Software,Pending,4,neutral
CONV-1272,Blue screen error,Verify your email settings.,73 minutes,Account,Pending,12,negative
CONV-1273,Cannot connect to Wi-Fi,Verify your email settings.,11 minutes,Account,Resolved,6,neutral
CONV-1274,Unable to access email,Verify your email settings.,22 minutes,Performance,Pending,41,neutral
CONV-1275,Printer not responding,Clear cache and remove unnecessary programs.,62 minutes,Account,Pending,16,neutral
CONV-1276,Slow system performance,Verify your email settings.,79 minutes,Hardware,Pending,11,neutral
CONV-1277,Printer not responding,Run a system diagnostic tool.,35 minutes,Hardware,Escalated,53,neutral
CONV-1278,Slow system performance,Reset your password using the link provided.,31 minutes,Performance,Pending,32,neutral
CONV-1279,Printer not responding,Reset your password using the link provided.,93 minutes,Account,Escalated,17,neutral
CONV-1280,Software installation failure,Verify your email settings.,87 minutes,Performance,Resolved,31,negative
CONV-1281,Blue screen error,Reinstall the printer drivers.,108 minutes,Performance,Resolved,38,negative
CONV-1282,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,13 minutes,Hardware,Escalated,55,neutral
CONV-1283,Unable to access email,Reinstall the printer drivers.,28 minutes,Hardware,Escalated,13,neutral
CONV-1284,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,39 minutes,Performance,Resolved after follow-up,38,neutral
CONV-1285,Slow system performance,Clear cache and remove unnecessary programs.,48 minutes,Performance,Resolved after follow-up,23,neutral
CONV-1286,Cannot connect to Wi-Fi,Verify your email settings.,96 minutes,Software,Pending,8,neutral
CONV-1287,Unable to access email,Verify your email settings.,11 minutes,Software,Resolved after follow-up,8,neutral
CONV-1288,Blue screen error,Run a system diagnostic tool.,39 minutes,Network,Resolved after follow-up,6,negative
CONV-1289,Software installation failure,Run a system diagnostic tool.,51 minutes,Software,Resolved,9,negative
CONV-1290,Unable to access email,Restart your router.,99 minutes,Account,Resolved after follow-up,4,neutral
CONV-1291,Slow system performance,Follow the software installation guide.,90 minutes,Performance,Resolved after follow-up,33,neutral
CONV-1292,Cannot connect to Wi-Fi,Verify your email settings.,98 minutes,Software,Pending,2,neutral
CONV-1293,Forgot password,Restart your router.,90 minutes,Performance,Pending,39,neutral
CONV-1294,Slow system performance,Run a system diagnostic tool.,45 minutes,Software,Resolved after follow-up,2,neutral
CONV-1295,Software installation failure,Run a system diagnostic tool.,100 minutes,Performance,Resolved,17,negative
CONV-1296,Slow system performance,Clear cache and remove unnecessary programs.,35 minutes,Account,Resolved,12,neutral
CONV-1297,Forgot password,Restart your router.,115 minutes,Hardware,Resolved after follow-up,47,neutral
CONV-1298,Slow system performance,Run a system diagnostic tool.,104 minutes,Network,Resolved after follow-up,16,neutral
CONV-1299,Unable to access email,Verify your email settings.,96 minutes,Network,Resolved after follow-up,14,neutral
CONV-1300,Printer not responding,Verify your email settings.,84 minutes,Network,Pending,29,neutral
CONV-1301,Slow system performance,Clear cache and remove unnecessary programs.,72 minutes,Account,Escalated,8,neutral
CONV-1302,Forgot password,Follow the software installation guide.,97 minutes,Account,Escalated,14,neutral
CONV-1303,Printer not responding,Restart your router.,41 minutes,Network,Pending,23,neutral
CONV-1304,Software installation failure,Reset your password using the link provided.,56 minutes,Account,Resolved,6,negative
CONV-1305,Slow system performance,Follow the software installation guide.,32 minutes,Hardware,Resolved,41,neutral
CONV-1306,Printer not responding,Follow the software installation guide.,8 minutes,Software,Escalated,9,neutral
CONV-1307,Software installation failure,Reinstall the printer drivers.,43 minutes,Network,Resolved,10,negative
CONV-1308,Cannot connect to Wi-Fi,Verify your email settings.,101 minutes,Software,Resolved after follow-up,2,neutral
CONV-1309,Blue screen error,Reinstall the printer drivers.,117 minutes,Hardware,Escalated,52,negative
CONV-1310,Printer not responding,Restart your router.,89 minutes,Performance,Pending,39,neutral
CONV-1311,Blue screen error,Restart your router.,41 minutes,Performance,Escalated,39,negative
CONV-1312,Unable to access email,Reinstall the printer drivers.,37 minutes,Account,Resolved,13,neutral
CONV-1313,Slow system performance,Verify your email settings.,102 minutes,Network,Pending,10,neutral
CONV-1314,Forgot password,Run a system diagnostic tool.,11 minutes,Account,Escalated,14,neutral
CONV-1315,Unable to access email,Clear cache and remove unnecessary programs.,115 minutes,Account,Pending,6,neutral
CONV-1316,Cannot connect to Wi-Fi,Follow the software installation guide.,82 minutes,Performance,Resolved after follow-up,20,neutral
CONV-1317,Software installation failure,Verify your email settings.,37 minutes,Performance,Resolved,21,negative
CONV-1318,Software installation failure,Run a system diagnostic tool.,49 minutes,Hardware,Resolved,52,negative
CONV-1319,Slow system performance,Restart your router.,98 minutes,Hardware,Resolved after follow-up,42,neutral
CONV-1320,Printer not responding,Reset your password using the link provided.,10 minutes,Performance,Resolved,37,neutral
CONV-1321,Software installation failure,Follow the software installation guide.,78 minutes,Performance,Pending,40,negative
CONV-1322,Blue screen error,Clear cache and remove unnecessary programs.,105 minutes,Account,Resolved after follow-up,18,negative
CONV-1323,Printer not responding,Follow the software installation guide.,33 minutes,Network,Pending,22,neutral
CONV-1324,Forgot password,Restart your router.,43 minutes,Software,Resolved,9,neutral
CONV-1325,Software installation failure,Reinstall the printer drivers.,95 minutes,Network,Escalated,27,negative
CONV-1326,Unable to access email,Clear cache and remove unnecessary programs.,74 minutes,Account,Escalated,11,neutral
CONV-1327,Cannot connect to Wi-Fi,Restart your router.,88 minutes,Hardware,Escalated,30,neutral
CONV-1328,Slow system performance,Reset your password using the link provided.,78 minutes,Software,Escalated,12,neutral
CONV-1329,Printer not responding,Verify your email settings.,114 minutes,Software,Resolved after follow-up,14,neutral
CONV-1330,Blue screen error,Run a system diagnostic tool.,9 minutes,Performance,Escalated,28,negative
CONV-1331,Printer not responding,Follow the software installation guide.,24 minutes,Performance,Pending,39,neutral
CONV-1332,Unable to access email,Run a system diagnostic tool.,45 minutes,Network,Resolved after follow-up,15,neutral
CONV-1333,Cannot connect to Wi-Fi,Verify your email settings.,72 minutes,Performance,Resolved,43,neutral
CONV-1334,Blue screen error,Reset your password using the link provided.,63 minutes,Software,Resolved,10,negative
CONV-1335,Blue screen error,Run a system diagnostic tool.,89 minutes,Software,Escalated,9,negative
CONV-1336,Printer not responding,Restart your router.,78 minutes,Network,Resolved after follow-up,26,neutral
CONV-1337,Slow system performance,Restart your router.,47 minutes,Account,Escalated,2,neutral
CONV-1338,Cannot connect to Wi-Fi,Restart your router.,54 minutes,Account,Resolved after follow-up,18,neutral
CONV-1339,Software installation failure,Reinstall the printer drivers.,9 minutes,Performance,Pending,15,negative
CONV-1340,Slow system performance,Clear cache and remove unnecessary programs.,78 minutes,Software,Pending,4,neutral
CONV-1341,Slow system performance,Reinstall the printer drivers.,95 minutes,Software,Resolved after follow-up,10,neutral
CONV-1342,Slow system performance,Reset your password using the link provided.,71 minutes,Performance,Pending,11,neutral
CONV-1343,Printer not responding,Clear cache and remove unnecessary programs.,47 minutes,Account,Pending,14,neutral
CONV-1344,Cannot connect to Wi-Fi,Follow the software installation guide.,16 minutes,Account,Escalated,12,neutral
CONV-1345,Slow system performance,Verify your email settings.,41 minutes,Hardware,Pending,44,neutral
CONV-1346,Blue screen error,Clear cache and remove unnecessary programs.,98 minutes,Hardware,Pending,19,negative
CONV-1347,Software installation failure,Verify your email settings.,102 minutes,Network,Resolved after follow-up,12,negative
CONV-1348,Printer not responding,Reinstall the printer drivers.,58 minutes,Software,Resolved after follow-up,4,neutral
CONV-1349,Forgot password,Run a system diagnostic tool.,60 minutes,Network,Pending,29,neutral
CONV-1350,Slow system performance,Clear cache and remove unnecessary programs.,12 minutes,Hardware,Resolved,55,neutral
CONV-1351,Printer not responding,Reset your password using the link provided.,78 minutes,Network,Resolved after follow-up,14,neutral
CONV-1352,Slow system performance,Follow the software installation guide.,23 minutes,Software,Resolved,3,neutral
CONV-1353,Slow system performance,Reset your password using the link provided.,95 minutes,Network,Resolved after follow-up,17,neutral
CONV-1354,Slow system performance,Follow the software installation guide.,20 minutes,Performance,Resolved,36,neutral
CONV-1355,Software installation failure,Clear cache and remove unnecessary programs.,60 minutes,Software,Resolved,13,negative
CONV-1356,Forgot password,Reinstall the printer drivers.,103 minutes,Performance,Resolved,14,neutral
CONV-1357,Cannot connect to Wi-Fi,Reset your password using the link provided.,65 minutes,Network,Pending,27,neutral
CONV-1358,Cannot connect to Wi-Fi,Follow the software installation guide.,72 minutes,Account,Pending,14,neutral
CONV-1359,Cannot connect to Wi-Fi,Follow the software installation guide.,117 minutes,Network,Pending,26,neutral
CONV-1360,Blue screen error,Restart your router.,76 minutes,Performance,Escalated,17,negative
CONV-1361,Slow system performance,Restart your router.,90 minutes,Performance,Escalated,31,neutral
CONV-1362,Printer not responding,Clear cache and remove unnecessary programs.,15 minutes,Performance,Resolved after follow-up,18,neutral
